Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201903,March 2019,4,0,1,Imports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,60029,,213263,,,0
HS,2019,201903,March 2019,4,0,1,Imports,699,India,,0,World,,,,,,,,,3208,"Paints, varnishes; (enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium",,,,,,,3756898,,22497739,,,0
HS,2019,201903,March 2019,4,0,2,Exports,699,India,,0,World,,,,,,,,,2704,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",,,,,,,7658000,,1739767,,,0
HS,2019,201903,March 2019,4,0,2,Exports,699,India,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,,,,,,,1164386,,836666,,,0
HS,2019,201903,March 2019,4,0,2,Exports,699,India,,0,World,,,,,,,,,2523,"Portland cement, aluminous cement (""ciment fondu""), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",,,,,,,317611926,,16656066,,,0
HS,2019,201903,March 2019,6,1,1,Imports,699,India,,0,World,,,,,,,,,170199,"Sucrose; chemically pure, not containing added flavouring or colouring matter, in solid form",,,,,,,99300,,587957,,,0
HS,2021,202107,July 2021,4,0,1,Imports,699,India,,0,World,,,,,,,,,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals",,,,,,,,,329694071,,,0
HS,2021,202107,July 2021,2,0,1,Imports,699,India,,0,World,,,,,,,,,31,Fertilizers,,,,,,,,,1099538288,,,0
HS,2021,202107,July 2021,2,0,1,Imports,699,India,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,946652063,,,0
HS,2021,202107,July 2021,2,0,1,Imports,699,India,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,114609253,,,0
